user_id,signup_date,signup_timestamp,channel,device_os,app_version,ab_test_group,country
usr_000081,2026-06-23,2026-06-23 03:24:39,Meta Ads (Instagram),Android,v2.5.1,Variant_B,Canada
usr_000082,2026-08-05,2026-08-05 23:32:42,Referral,Web,v3.1.0-web,Control_A,United Kingdom
usr_000083,2026-07-03,2026-07-03 05:50:01,Meta Ads (Instagram),Android,v2.5.3,Control_A,Canada
usr_000084,2026-08-28,2026-08-28 07:21:18,Referral,iOS,v2.5.3,Variant_B,United Kingdom
usr_000085,2026-06-10,2026-06-10 00:46:45,Organic Search,iOS,v2.5.1,Variant_B,India
usr_000086,2026-08-10,2026-08-10 12:06:18,Referral,Android,v2.5.1,Variant_B,India
usr_000087,2026-06-25,2026-06-25 16:09:43,Organic Search,iOS,v2.5.3,Control_A,Canada
usr_000088,2026-07-02,2026-07-02 10:50:28,Organic Search,iOS,v2.5.1,Variant_B,United States
usr_000089,2026-08-01,2026-08-01 14:30:05,Referral,Android,v2.5.1,Variant_B,United Kingdom
usr_000090,2026-07-15,2026-07-15 16:26:59,Meta Ads (Instagram),Android,v2.5.1,Variant_B,India
usr_000091,2026-07-08,2026-07-08 09:22:09,Meta Ads (Instagram),iOS,v2.5.1,Variant_B,United Kingdom
usr_000092,2026-07-05,2026-07-05 07:50:21,Meta Ads (Instagram),Android,v2.5.1,Control_A,United States
usr_000093,2026-08-03,2026-08-03 04:50:59,Paid Search (Google),iOS,v2.5.1,Control_A,United Kingdom
usr_000094,2026-06-23,2026-06-23 08:08:39,Meta Ads (Instagram),Android,v2.5.2,Variant_B,United Kingdom
usr_000095,2026-08-08,2026-08-08 12:31:54,Meta Ads (Instagram),Web,v3.1.0-web,Variant_B,Germany
usr_000096,2026-07-30,2026-07-30 16:08:36,Paid Search (Google),iOS,v2.5.3,Control_A,Canada
usr_000097,2026-07-08,2026-07-08 10:25:51,Organic Search,Android,v2.5.3,Control_A,Canada
usr_000098,2026-07-15,2026-07-15 08:43:08,Organic Search,Web,v3.1.0-web,Control_A,Canada
usr_000099,2026-07-13,2026-07-13 19:33:47,Meta Ads (Instagram),iOS,v2.5.2,Variant_B,United States
usr_000100,2026-07-07,2026-07-07 01:50:51,Paid Search (Google),Android,v2.5.2,Variant_B,Canada
usr_000101,2026-06-01,2026-06-01 09:35:04,Paid Search (Google),iOS,v2.5.3,Control_A,United Kingdom
usr_000102,2026-06-27,2026-06-27 01:30:54,Meta Ads (Instagram),Android,v2.5.3,Control_A,United States
usr_000103,2026-07-21,2026-07-21 19:16:35,Meta Ads (Instagram),Android,v2.5.2,Variant_B,Canada
usr_000104,2026-06-28,2026-06-28 22:54:08,Meta Ads (Instagram),iOS,v2.5.1,Variant_B,Germany
usr_000105,2026-06-03,2026-06-03 09:21:53,Meta Ads (Instagram),iOS,v2.5.2,Control_A,Canada
usr_000106,2026-07-18,2026-07-18 12:50:29,Meta Ads (Instagram),Android,v2.5.1,Variant_B,Canada
usr_000107,2026-07-04,2026-07-04 10:20:27,Paid Search (Google),iOS,v2.5.3,Control_A,India
usr_000108,2026-07-22,2026-07-22 03:52:55,Organic Search,Android,v2.5.2,Variant_B,Germany
usr_000109,2026-08-06,2026-08-06 16:46:22,Meta Ads (Instagram),Android,v2.5.2,Control_A,United States
usr_000110,2026-08-25,2026-08-25 19:52:37,Meta Ads (Instagram),Android,v2.5.3,Variant_B,United Kingdom
usr_000111,2026-07-15,2026-07-15 13:57:33,Meta Ads (Instagram),iOS,v2.5.2,Variant_B,Germany
usr_000112,2026-08-10,2026-08-10 14:44:29,Influencer Campaign,Android,v2.5.2,Control_A,India
usr_000113,2026-08-27,2026-08-27 23:13:19,Meta Ads (Instagram),Android,v2.5.2,Variant_B,Canada
usr_000114,2026-07-09,2026-07-09 22:08:40,Meta Ads (Instagram),Android,v2.5.3,Control_A,India
usr_000115,2026-08-23,2026-08-23 04:40:13,Organic Search,Android,v2.5.1,Variant_B,United Kingdom
usr_000116,2026-07-08,2026-07-08 11:51:35,Meta Ads (Instagram),iOS,v2.5.3,Variant_B,Canada
usr_000117,2026-06-23,2026-06-23 04:32:39,Referral,Android,v2.5.3,Control_A,Germany
usr_000118,2026-08-08,2026-08-08 02:31:44,Organic Search,Web,v3.1.0-web,Control_A,United Kingdom
usr_000119,2026-06-19,2026-06-19 15:44:11,Referral,Android,v2.5.2,Variant_B,India
usr_000120,2026-07-13,2026-07-13 19:50:43,Paid Search (Google),iOS,v2.5.1,Control_A,Canada
usr_000121,2026-08-17,2026-08-17 15:16:16,Paid Search (Google),Android,v2.5.2,Variant_B,India
usr_000122,2026-07-22,2026-07-22 23:40:50,Influencer Campaign,iOS,v2.5.3,Control_A,India
usr_000123,2026-06-12,2026-06-12 14:25:58,Meta Ads (Instagram),iOS,v2.5.3,Variant_B,United States
usr_000124,2026-06-28,2026-06-28 03:14:18,Meta Ads (Instagram),iOS,v2.5.3,Control_A,United Kingdom
usr_000125,2026-06-17,2026-06-17 22:02:25,Paid Search (Google),Android,v2.5.3,Variant_B,Germany
usr_000126,2026-07-20,2026-07-20 14:52:20,Influencer Campaign,Android,v2.5.2,Control_A,Canada
usr_000127,2026-06-19,2026-06-19 21:27:24,Organic Search,Web,v3.1.0-web,Control_A,India
usr_000128,2026-07-04,2026-07-04 03:16:40,Meta Ads (Instagram),iOS,v2.5.3,Control_A,United Kingdom
usr_000129,2026-07-15,2026-07-15 04:41:02,Meta Ads (Instagram),Android,v2.5.2,Control_A,United States
usr_000130,2026-08-28,2026-08-28 05:58:11,Meta Ads (Instagram),iOS,v2.5.1,Variant_B,Canada
usr_000131,2026-06-17,2026-06-17 23:46:19,Meta Ads (Instagram),Android,v2.5.1,Variant_B,Canada
usr_000132,2026-07-15,2026-07-15 03:23:46,Meta Ads (Instagram),Android,v2.5.2,Variant_B,India
usr_000133,2026-07-05,2026-07-05 14:06:44,Meta Ads (Instagram),Android,v2.5.2,Control_A,Germany
usr_000134,2026-07-04,2026-07-04 04:59:31,Paid Search (Google),Android,v2.5.1,Variant_B,United States
usr_000135,2026-08-12,2026-08-12 04:07:28,Referral,Android,v2.5.2,Variant_B,Germany
usr_000136,2026-08-05,2026-08-05 04:13:43,Referral,iOS,v2.5.2,Variant_B,India
usr_000137,2026-08-01,2026-08-01 10:58:25,Referral,Android,v2.5.1,Variant_B,Canada
usr_000138,2026-08-04,2026-08-04 23:42:05,Organic Search,Android,v2.5.1,Variant_B,United Kingdom
usr_000139,2026-06-21,2026-06-21 21:45:57,Meta Ads (Instagram),Android,v2.5.2,Variant_B,Germany
usr_000140,2026-08-06,2026-08-06 15:22:27,Meta Ads (Instagram),iOS,v2.5.1,Control_A,India
usr_000141,2026-06-13,2026-06-13 09:20:04,Meta Ads (Instagram),Web,v3.1.0-web,Control_A,Canada
usr_000142,2026-08-28,2026-08-28 05:38:29,Referral,iOS,v2.5.1,Control_A,United States
usr_000143,2026-08-26,2026-08-26 12:43:08,Influencer Campaign,Web,v3.1.0-web,Control_A,India
usr_000144,2026-07-17,2026-07-17 04:23:15,Referral,Android,v2.5.1,Control_A,United States
usr_000145,2026-08-29,2026-08-29 04:05:09,Organic Search,iOS,v2.5.2,Variant_B,United States
usr_000146,2026-06-19,2026-06-19 03:18:50,Meta Ads (Instagram),Android,v2.5.2,Variant_B,Canada
usr_000147,2026-07-14,2026-07-14 15:05:12,Paid Search (Google),Android,v2.5.3,Variant_B,Germany
usr_000148,2026-08-28,2026-08-28 10:08:04,Paid Search (Google),Android,v2.5.3,Variant_B,United States
usr_000149,2026-06-01,2026-06-01 00:15:45,Meta Ads (Instagram),iOS,v2.5.3,Variant_B,Germany
usr_000150,2026-08-24,2026-08-24 16:07:15,Referral,iOS,v2.5.2,Variant_B,Canada
usr_000151,2026-06-01,2026-06-01 18:47:48,Meta Ads (Instagram),Web,v3.1.0-web,Variant_B,United Kingdom
usr_000152,2026-06-12,2026-06-12 21:08:34,Meta Ads (Instagram),Android,v2.5.2,Control_A,India
usr_000153,2026-08-26,2026-08-26 08:43:29,Paid Search (Google),Android,v2.5.2,Control_A,Germany
usr_000154,2026-06-02,2026-06-02 16:43:33,Meta Ads (Instagram),iOS,v2.5.3,Control_A,Canada
usr_000155,2026-08-12,2026-08-12 05:12:40,Meta Ads (Instagram),iOS,v2.5.2,Control_A,Germany
usr_000156,2026-07-29,2026-07-29 08:47:38,Organic Search,Android,v2.5.2,Variant_B,India
usr_000157,2026-08-18,2026-08-18 04:28:26,Meta Ads (Instagram),Android,v2.5.2,Variant_B,India
usr_000158,2026-08-16,2026-08-16 13:37:36,Organic Search,iOS,v2.5.1,Variant_B,Germany
usr_000159,2026-06-14,2026-06-14 06:04:54,Referral,Android,v2.5.2,Variant_B,Germany
usr_000160,2026-06-10,2026-06-10 08:02:34,Meta Ads (Instagram),Android,v2.5.1,Control_A,India
usr_000161,2026-06-29,2026-06-29 08:04:44,Meta Ads (Instagram),Android,v2.5.2,Variant_B,Germany
usr_000162,2026-07-02,2026-07-02 00:44:05,Paid Search (Google),Web,v3.1.0-web,Control_A,India
usr_000163,2026-07-26,2026-07-26 03:58:16,Paid Search (Google),Android,v2.5.1,Control_A,India
usr_000164,2026-07-25,2026-07-25 05:16:33,Meta Ads (Instagram),Android,v2.5.2,Control_A,Germany
usr_000165,2026-06-28,2026-06-28 18:25:02,Organic Search,Android,v2.5.1,Control_A,United States
usr_000166,2026-08-23,2026-08-23 05:00:58,Meta Ads (Instagram),Android,v2.5.2,Variant_B,United States
usr_000167,2026-06-11,2026-06-11 00:56:16,Referral,Android,v2.5.3,Variant_B,India
usr_000168,2026-07-10,2026-07-10 07:05:45,Meta Ads (Instagram),iOS,v2.5.2,Variant_B,United Kingdom
usr_000169,2026-08-28,2026-08-28 13:20:37,Meta Ads (Instagram),Android,v2.5.1,Control_A,India
usr_000170,2026-07-01,2026-07-01 15:08:00,Influencer Campaign,iOS,v2.5.1,Control_A,United Kingdom
usr_000171,2026-08-29,2026-08-29 00:55:10,Meta Ads (Instagram),Android,v2.5.1,Variant_B,Germany
usr_000172,2026-08-23,2026-08-23 04:00:18,Paid Search (Google),Android,v2.5.3,Variant_B,United States
usr_000173,2026-08-16,2026-08-16 11:55:46,Meta Ads (Instagram),iOS,v2.5.3,Variant_B,United States
usr_000174,2026-06-19,2026-06-19 10:21:34,Organic Search,iOS,v2.5.1,Control_A,Canada
usr_000175,2026-07-23,2026-07-23 19:25:13,Organic Search,Android,v2.5.1,Control_A,United States
usr_000176,2026-06-24,2026-06-24 00:08:43,Meta Ads (Instagram),Android,v2.5.2,Control_A,Germany
usr_000177,2026-07-14,2026-07-14 05:48:21,Meta Ads (Instagram),iOS,v2.5.1,Variant_B,India
usr_000178,2026-07-22,2026-07-22 08:29:13,Meta Ads (Instagram),Android,v2.5.3,Control_A,Germany
usr_000179,2026-08-06,2026-08-06 15:52:35,Paid Search (Google),Android,v2.5.2,Variant_B,United Kingdom
usr_000180,2026-08-20,2026-08-20 11:10:02,Meta Ads (Instagram),Android,v2.5.3,Variant_B,India
usr_000181,2026-08-14,2026-08-14 05:35:50,Meta Ads (Instagram),iOS,v2.5.3,Variant_B,Canada
usr_000182,2026-07-26,2026-07-26 01:59:08,Influencer Campaign,Android,v2.5.2,Variant_B,Canada
usr_000183,2026-06-06,2026-06-06 21:39:43,Referral,iOS,v2.5.1,Control_A,India
usr_000184,2026-06-15,2026-06-15 12:06:04,Paid Search (Google),Android,v2.5.3,Variant_B,Germany
usr_000185,2026-06-22,2026-06-22 21:29:02,Organic Search,iOS,v2.5.1,Variant_B,Canada
usr_000186,2026-07-20,2026-07-20 18:32:04,Paid Search (Google),iOS,v2.5.3,Variant_B,Germany
usr_000187,2026-07-26,2026-07-26 02:19:04,Referral,Web,v3.1.0-web,Variant_B,Germany
usr_000188,2026-06-13,2026-06-13 16:33:41,Organic Search,Android,v2.5.3,Control_A,India
usr_000189,2026-08-02,2026-08-02 02:01:16,Organic Search,Android,v2.5.1,Variant_B,United Kingdom
usr_000190,2026-07-09,2026-07-09 18:04:58,Paid Search (Google),Android,v2.5.2,Control_A,United States
usr_000191,2026-08-16,2026-08-16 14:09:05,Paid Search (Google),iOS,v2.5.3,Variant_B,Canada
usr_000192,2026-06-26,2026-06-26 23:48:21,Paid Search (Google),Web,v3.1.0-web,Control_A,Germany
usr_000193,2026-08-03,2026-08-03 18:37:49,Organic Search,Android,v2.5.1,Control_A,United Kingdom
usr_000194,2026-08-07,2026-08-07 18:09:13,Meta Ads (Instagram),Android,v2.5.2,Control_A,United States
usr_000195,2026-07-18,2026-07-18 02:36:35,Paid Search (Google),iOS,v2.5.1,Variant_B,Canada
usr_000196,2026-08-19,2026-08-19 16:04:12,Meta Ads (Instagram),iOS,v2.5.2,Variant_B,Canada
usr_000197,2026-08-04,2026-08-04 06:09:22,Influencer Campaign,iOS,v2.5.1,Variant_B,United States
usr_000198,2026-07-24,2026-07-24 09:58:50,Paid Search (Google),Android,v2.5.2,Control_A,India
usr_000199,2026-07-02,2026-07-02 02:17:06,Organic Search,iOS,v2.5.2,Control_A,Canada
usr_000200,2026-07-12,2026-07-12 13:36:28,Organic Search,iOS,v2.5.2,Variant_B,Germany
usr_000201,2026-08-27,2026-08-27 03:09:49,Paid Search (Google),iOS,v2.5.2,Control_A,United Kingdom
usr_000202,2026-08-13,2026-08-13 01:16:00,Organic Search,iOS,v2.5.2,Control_A,United Kingdom
usr_000203,2026-07-15,2026-07-15 14:29:16,Referral,iOS,v2.5.1,Variant_B,India
usr_000204,2026-07-07,2026-07-07 03:40:12,Paid Search (Google),iOS,v2.5.1,Control_A,India
usr_000205,2026-06-05,2026-06-05 12:32:34,Paid Search (Google),Android,v2.5.2,Variant_B,India
usr_000206,2026-07-02,2026-07-02 10:45:50,Influencer Campaign,iOS,v2.5.2,Variant_B,United States
usr_000207,2026-07-15,2026-07-15 16:14:34,Organic Search,Android,v2.5.2,Control_A,India
usr_000208,2026-08-05,2026-08-05 14:32:31,Influencer Campaign,Android,v2.5.2,Control_A,Canada
usr_000209,2026-08-19,2026-08-19 22:01:08,Referral,Android,v2.5.1,Variant_B,United States
usr_000210,2026-07-12,2026-07-12 13:08:06,Referral,iOS,v2.5.3,Variant_B,Canada
usr_000211,2026-08-29,2026-08-29 11:51:31,Meta Ads (Instagram),iOS,v2.5.1,Variant_B,United States
usr_000212,2026-08-07,2026-08-07 19:31:25,Meta Ads (Instagram),iOS,v2.5.3,Control_A,Germany
usr_000213,2026-06-04,2026-06-04 08:53:58,Meta Ads (Instagram),iOS,v2.5.3,Control_A,United Kingdom
usr_000214,2026-06-16,2026-06-16 14:43:54,Referral,Android,v2.5.2,Variant_B,Germany
usr_000215,2026-08-09,2026-08-09 08:50:31,Meta Ads (Instagram),Android,v2.5.1,Variant_B,Germany
usr_000216,2026-07-22,2026-07-22 00:13:33,Meta Ads (Instagram),Android,v2.5.3,Variant_B,India
usr_000217,2026-08-18,2026-08-18 00:11:00,Paid Search (Google),Android,v2.5.3,Variant_B,United States
usr_000218,2026-06-29,2026-06-29 20:57:10,Referral,iOS,v2.5.2,Control_A,United States
usr_000219,2026-06-08,2026-06-08 12:15:50,Organic Search,iOS,v2.5.3,Control_A,Germany
usr_000220,2026-06-28,2026-06-28 14:25:17,Meta Ads (Instagram),Android,v2.5.1,Variant_B,United Kingdom
usr_000221,2026-08-06,2026-08-06 18:46:48,Paid Search (Google),Android,v2.5.3,Variant_B,Canada
usr_000222,2026-06-02,2026-06-02 09:11:25,Referral,Android,v2.5.2,Variant_B,United States
usr_000223,2026-08-26,2026-08-26 00:17:26,Meta Ads (Instagram),Android,v2.5.1,Variant_B,India
usr_000224,2026-08-04,2026-08-04 00:39:44,Meta Ads (Instagram),Android,v2.5.1,Variant_B,India
usr_000225,2026-06-29,2026-06-29 06:57:02,Influencer Campaign,iOS,v2.5.1,Variant_B,Germany
usr_000226,2026-08-12,2026-08-12 21:41:24,Influencer Campaign,iOS,v2.5.1,Control_A,Canada
usr_000227,2026-06-20,2026-06-20 07:38:31,Organic Search,Web,v3.1.0-web,Variant_B,United States
usr_000228,2026-08-20,2026-08-20 00:16:19,Meta Ads (Instagram),Android,v2.5.1,Variant_B,United States
usr_000229,2026-07-02,2026-07-02 03:54:04,Paid Search (Google),Android,v2.5.1,Control_A,India
usr_000230,2026-08-09,2026-08-09 13:19:04,Meta Ads (Instagram),iOS,v2.5.3,Control_A,United States
usr_000231,2026-07-24,2026-07-24 18:47:31,Meta Ads (Instagram),Android,v2.5.3,Variant_B,United States
usr_000232,2026-07-22,2026-07-22 15:45:45,Organic Search,iOS,v2.5.3,Control_A,Germany
usr_000233,2026-06-23,2026-06-23 14:45:55,Paid Search (Google),Android,v2.5.2,Control_A,India
usr_000234,2026-08-17,2026-08-17 19:56:39,Paid Search (Google),iOS,v2.5.1,Control_A,Germany
usr_000235,2026-06-23,2026-06-23 19:05:49,Meta Ads (Instagram),iOS,v2.5.2,Variant_B,Canada
usr_000236,2026-07-13,2026-07-13 00:53:33,Meta Ads (Instagram),iOS,v2.5.2,Variant_B,Germany
usr_000237,2026-07-01,2026-07-01 15:24:32,Meta Ads (Instagram),Web,v3.1.0-web,Variant_B,Germany
usr_000238,2026-06-10,2026-06-10 02:55:12,Meta Ads (Instagram),iOS,v2.5.1,Variant_B,Canada
usr_000239,2026-07-07,2026-07-07 20:25:17,Meta Ads (Instagram),iOS,v2.5.2,Variant_B,United States
usr_000240,2026-06-13,2026-06-13 12:18:38,Meta Ads (Instagram),Web,v3.1.0-web,Variant_B,Canada
usr_000241,2026-08-01,2026-08-01 18:28:42,Referral,Android,v2.5.1,Control_A,United Kingdom
usr_000242,2026-06-23,2026-06-23 18:25:17,Meta Ads (Instagram),iOS,v2.5.3,Variant_B,United Kingdom
usr_000243,2026-08-10,2026-08-10 05:33:07,Meta Ads (Instagram),iOS,v2.5.3,Variant_B,Canada
usr_000244,2026-06-16,2026-06-16 14:27:00,Influencer Campaign,Android,v2.5.2,Control_A,United Kingdom
usr_000245,2026-07-06,2026-07-06 22:36:41,Meta Ads (Instagram),Web,v3.1.0-web,Variant_B,India
usr_000246,2026-08-16,2026-08-16 04:44:51,Referral,iOS,v2.5.1,Variant_B,India
usr_000247,2026-07-22,2026-07-22 03:34:42,Organic Search,iOS,v2.5.3,Control_A,Germany
usr_000248,2026-08-09,2026-08-09 23:14:51,Meta Ads (Instagram),iOS,v2.5.1,Control_A,India
usr_000249,2026-07-23,2026-07-23 20:06:56,Organic Search,Android,v2.5.3,Variant_B,Canada
usr_000250,2026-06-21,2026-06-21 21:18:59,Meta Ads (Instagram),Android,v2.5.3,Variant_B,India
usr_000251,2026-07-13,2026-07-13 18:41:08,Organic Search,Android,v2.5.1,Control_A,Germany
usr_000252,2026-06-11,2026-06-11 23:10:53,Organic Search,iOS,v2.5.2,Variant_B,Canada
usr_000253,2026-06-09,2026-06-09 15:30:14,Influencer Campaign,iOS,v2.5.1,Variant_B,United Kingdom
